sample_id,rot_deg,trans_mm,status,rot_err_deg,trans_err_mm,rmse_mm,coarse_runtime_s,icp_runtime_s,runtime_total_s,method
rot0.5_trans25_noise1_none/seed0,0.5,25,ok,0.0025996351857998476,0.269320270908935,0.20836072807838793,0.0065101999789476395,0.14849669998511672,0.28043539985083044,B
rot0.5_trans50_noise1_none/seed0,0.5,50,ok,0.0025996343446092517,0.26980565078905977,0.2085526160350121,0.00672530010342598,0.13854350009933114,0.28831740003079176,B
rot0.5_trans100_noise1_none/seed0,0.5,100,ok,0.002599634625006147,0.2707820905678633,0.20894660700187898,0.005957500077784061,0.13908839994110167,0.27968169981613755,B
rot1.0_trans0_noise1_none/seed0,1.0,0,ok,0.0026485129144915753,0.1967133797790273,0.1504250545985095,0.006716500036418438,0.13997599994763732,0.2941997000016272,B
rot1.0_trans10_noise1_none/seed0,1.0,10,ok,0.0026485123640472025,0.19697910828897433,0.15041476350270502,0.0075194998644292355,0.1397901999298483,0.26976660010404885,B
rot1.0_trans25_noise1_none/seed0,1.0,25,ok,0.002648512088824973,0.19737798339797166,0.15040057637072912,0.006971999770030379,0.13724480010569096,0.2806224999949336,B
rot1.0_trans50_noise1_none/seed0,1.0,50,ok,0.0026485129144915753,0.198043523112218,0.15038026421140957,0.006345999892801046,0.13930299994535744,0.27902769995853305,B
rot1.0_trans100_noise1_none/seed0,1.0,100,ok,0.002648512639269403,0.19937737330974398,0.15035214450080203,0.007274799980223179,0.14678469998762012,0.2714521000161767,B
rot2.0_trans0_noise1_none/seed0,2.0,0,ok,0.002139845644772664,0.2302801637657767,0.26051348069170643,0.007423799950629473,0.14264150010421872,0.2934814998880029,B
rot2.0_trans10_noise1_none/seed0,2.0,10,ok,0.002139845644772664,0.23034317964630074,0.26049261290316883,0.006479100091382861,0.15501179988496006,0.30082519981078804,B
rot2.0_trans25_noise1_none/seed0,2.0,25,ok,0.0021398449634809484,0.23043803278964078,0.2604616280354871,0.007944599958136678,0.13887979998253286,0.2864284999668598,B
rot2.0_trans50_noise1_none/seed0,2.0,50,ok,0.0021398453041268336,0.23059699835234995,0.26041083175447904,0.006795699940994382,0.13949930015951395,0.29099659994244576,B
rot2.0_trans100_noise1_none/seed0,2.0,100,ok,0.0021398453041268336,0.23091821001677107,0.2603124107901115,0.0067096001002937555,0.14299049996770918,0.2973527000285685,B
rot4.0_trans0_noise1_none/seed0,4.0,0,ok,0.002485805920490223,0.18036201468210292,0.16136040777242813,0.007733700098469853,0.1399544000159949,0.28916770010255277,B
rot4.0_trans10_noise1_none/seed0,4.0,10,ok,0.0024858056272535406,0.180619456725422,0.16127436866298278,0.006716900039464235,0.13802959979511797,0.27714510005898774,B
rot4.0_trans25_noise1_none/seed0,4.0,25,ok,0.002485805920490223,0.18100623012377404,0.1611466805717907,0.005874200025573373,0.14709310000762343,0.28067660005763173,B
rot4.0_trans50_noise1_none/seed0,4.0,50,ok,0.002485806506963485,0.18165246846114705,0.16093753158490057,0.005563199985772371,0.14941939990967512,0.29570709983818233,B
rot4.0_trans100_noise1_none/seed0,4.0,100,ok,0.002485806506963485,0.182950928009053,0.1605330394410898,0.006316399900242686,0.13860390009358525,0.27383299986831844,B
